"","ID","NUTSID","iso_week","iso_yr","avg_temp","wgt_temp","wgt_logtemp","wgt_65plstemp","geo_code","geo_lab","year","TIME_PERIOD","death_count_tot","death_pop_an","stn_death","crude_death"
"42458","2022-W25-FRD21","FRD21",25,2022,18.600672858102,18.5464462552752,18.5681044714791,18.7062505994524,"FRD21","Eure",2022,"2022-W25",81,597425,11.5102810806864,13.5581872201532
"42459","2022-W25-FRD22","FRD22",25,2022,17.560336794172,17.6148285184588,17.582460130964,17.8357163837978,"FRD22","Seine-Maritime",2022,"2022-W25",266,1254286,17.4616048175048,21.2072844630332
"42460","2022-W25-FRE11","FRE11",25,2022,18.4438969748361,18.4896022251674,18.4698284694127,18.6218150002616,"FRE11","Nord",2022,"2022-W25",410,2607165,14.9821814753709,15.7258938348743
"42461","2022-W25-FRE12","FRE12",25,2022,17.8873427254813,17.9345476967948,17.9103649684361,18.2242257254464,"FRE12","Pas-de-Calais",2022,"2022-W25",255,1456588,15.5221135365825,17.5066662638989
"42462","2022-W25-FRE21","FRE21",25,2022,18.6502859933036,18.6209147317069,18.6259610312325,18.6369852338518,"FRE21","Aisne",2022,"2022-W25",112,524723,17.4421198790517,21.3445951482973
"42463","2022-W25-FRE22","FRE22",25,2022,18.9830177852085,19.0348382677351,18.9979316166469,19.2028010232108,"FRE22","Oise",2022,"2022-W25",122,831729,14.6064324998763,14.6682392942894
"42464","2022-W25-FRE23","FRE23",25,2022,18.1755894252232,18.1588181086949,18.13648550851,18.242011478969,"FRE23","Somme",2022,"2022-W25",119,565278,17.5702517703018,21.0515887757882
"42465","2022-W25-FRF11","FRF11",25,2022,21.4812826429095,21.5258663722447,21.4373356955392,22.0449082510812,"FRF11","Bas-Rhin",2022,"2022-W25",195,1161777,15.225929363484,16.7846325069269
"42466","2022-W25-FRF12","FRF12",25,2022,21.485636302403,21.3732155391148,21.4052434648786,22.019142968314,"FRF12","Haut-Rhin",2022,"2022-W25",149,768496,15.9969370413876,19.3885199142221
"42467","2022-W25-FRF21","FRF21",25,2022,18.317641394479,18.1545700345721,18.0842821938651,18.1847972869873,"FRF21","Ardennes",2022,"2022-W25",39,266690,11.6935080758577,14.6237204244629
"42468","2022-W25-FRF22","FRF22",25,2022,20.3187362125942,20.365782056536,20.3948590414865,20.432265145438,"FRF22","Aube",2022,"2022-W25",44,312183,10.208206986364,14.0942972551356
"42469","2022-W25-FRF23","FRF23",25,2022,19.3384124210903,19.3314819335938,19.3541638510568,19.2639999389648,"FRF23","Marne",2022,"2022-W25",94,565024,14.2011445086667,16.6364614600442
"42470","2022-W25-FRF24","FRF24",25,2022,20.4940507071359,20.4774167197091,20.4791515895299,20.4542734963553,"FRF24","Haute-Marne",2022,"2022-W25",37,168881,14.4133279452485,21.9089181139382
"42471","2022-W25-FRF31","FRF31",25,2022,20.9682799748012,20.8635845184326,20.7963935307094,21.2026334490095,"FRF31","Meurthe-et-Moselle",2022,"2022-W25",127,730393,14.6902637327458,17.3878993911497
"42472","2022-W25-FRF32","FRF32",25,2022,19.4099867684501,19.4126905713762,19.3857945033482,19.4086854117257,"FRF32","Meuse",2022,"2022-W25",28,179626,10.300277787934,15.5879438388652
"42473","2022-W25-FRF33","FRF33",25,2022,20.4133063725063,20.1574608939035,20.1359277452741,20.0257914406913,"FRF33","Moselle",2022,"2022-W25",198,1050548,15.5844594405831,18.8473063582054
"42474","2022-W25-FRF34","FRF34",25,2022,20.7087230682373,20.5402366093227,20.5723432813372,20.7240368979318,"FRF34","Vosges",2022,"2022-W25",84,357864,16.2713596395419,23.4726041177654
"42475","2022-W25-FRG01","FRG01",25,2022,19.0569430759975,19.0387071881975,19.0392799377441,19.0679969787598,"FRG01","Loire-Atlantique",2022,"2022-W25",239,1480188,14.6983644953242,16.1465975943596
"42476","2022-W25-FRG02","FRG02",25,2022,19.8687111990792,19.8307304382324,19.8117250714983,19.8936154501779,"FRG02","Maine-et-Loire",2022,"2022-W25",129,825814,11.7719800431062,15.6209509647451
"42477","2022-W25-FRG03","FRG03",25,2022,18.9308889933995,18.9841181891305,18.9757644108364,19.0388892037528,"FRG03","Mayenne",2022,"2022-W25",58,305719,12.609007566352,18.9716700630317
"42478","2022-W25-FRG04","FRG04",25,2022,19.8621610913958,19.8968420028687,19.9028554643903,20.0229444503784,"FRG04","Sarthe",2022,"2022-W25",115,567053,15.2178928515623,20.2802912602526
"42479","2022-W25-FRG05","FRG05",25,2022,19.1972776140485,19.1919623783657,19.1937389373779,19.1496552058628,"FRG05","Vendée",2022,"2022-W25",141,704121,13.1939423274989,20.0249672996545
"42480","2022-W25-FRH01","FRH01",25,2022,16.6222823006766,16.6636735371181,16.6788858686175,16.8176915305001,"FRH01","Côtes-d’Armor",2022,"2022-W25",128,606868,13.8138455285404,21.0919013689962
"42481","2022-W25-FRH02","FRH02",25,2022,16.59756061009,16.6284967150007,16.641065461295,16.6673491341727,"FRH02","Finistère",2022,"2022-W25",215,923400,15.8669591888923,23.2835174355642
